sample,bam,genotype,treatment,replicate
WT_unt_r1,data/bam/WT_unt_r1.dedup.bam,WT,untreated,1
WT_PDS_r1,data/bam/WT_PDS_r1.dedup.bam,WT,PDS,1
WT_unt_r2,data/bam/WT_unt_r2.dedup.bam,WT,untreated,2
WT_PDS_r2,data/bam/WT_PDS_r2.dedup.bam,WT,PDS,2
PIF1d_unt_r1,data/bam/PIF1d_unt_r1.dedup.bam,PIF1d,untreated,1
PIF1d_PDS_r1,data/bam/PIF1d_PDS_r1.dedup.bam,PIF1d,PDS,1
PIF1d_unt_r2,data/bam/PIF1d_unt_r2.dedup.bam,PIF1d,untreated,2
PIF1d_PDS_r2,data/bam/PIF1d_PDS_r2.dedup.bam,PIF1d,PDS,2
RecQd_unt_r1,data/bam/RecQd_unt_r1.dedup.bam,RecQd,untreated,1
RecQd_PDS_r1,data/bam/RecQd_PDS_r1.dedup.bam,RecQd,PDS,1
RecQd_unt_r2,data/bam/RecQd_unt_r2.dedup.bam,RecQd,untreated,2
RecQd_PDS_r2,data/bam/RecQd_PDS_r2.dedup.bam,RecQd,PDS,2
