gene_id,category
YML061C,construction
YHR031C,construction
YMR190C,construction
YDR291W,construction
YEL069C,construction
YEL021W,construction
YDR007W,construction
YOR202W,construction
YCL018W,construction
YOR128C,construction
YBR115C,construction
YFL026W,mating_type
YKL209C,mating_type
YDR461W,mating_type
YNL145W,mating_type
YIL015W,mating_type
YGL032C,mating_type
YJL170C,mating_type
YKL178C,mating_type
YJR004C,mating_type
YPL187W,mating_type
YGL089C,mating_type
YNR044W,mating_type
YCR039C,mating_type
YCR040W,mating_type
